path,scan_root,depth,size_bytes,size_human,category,risk
C:\Program Files\HP\HP Media Network,C:\Program Files,2,2791611,2.66 MB,directory,manual_review
C:\Program Files\Wireshark\plugins,C:\Program Files,2,2623088,2.50 MB,directory,manual_review
C:\Program Files\Internet Explorer,C:\Program Files,1,2588354,2.47 MB,directory,manual_review
C:\Program Files\Cheat Engine 7.5\win32,C:\Program Files,2,2584992,2.47 MB,directory,manual_review
C:\Program Files\Notepad++\autoCompletion,C:\Program Files,2,2295804,2.19 MB,directory,manual_review
C:\Program Files\Cheat Engine 7.5\autorun,C:\Program Files,2,1923399,1.83 MB,directory,manual_review
C:\Program Files\Npcap,C:\Program Files,1,1904555,1.82 MB,directory,manual_review
C:\Program Files (x86)\Internet Explorer,C:\Program Files (x86),1,1804047,1.72 MB,directory,manual_review
C:\Program Files\Notepad++\updater,C:\Program Files,2,1782383,1.70 MB,directory,manual_review
C:\Program Files\Microsoft SQL Server\Client SDK,C:\Program Files,2,1591997,1.52 MB,directory,manual_review
C:\Program Files\dotnet\sdk-manifests,C:\Program Files,2,1578839,1.51 MB,directory,manual_review
C:\Program Files\PowerToys\Tools,C:\Program Files,2,1566000,1.49 MB,directory,manual_review
C:\Program Files\DB Browser for SQLite\imageformats,C:\Program Files,2,1538928,1.47 MB,directory,manual_review
C:\Program Files (x86)\MSBuild,C:\Program Files (x86),1,1504869,1.44 MB,directory,manual_review
C:\Program Files (x86)\MSBuild\15.0,C:\Program Files (x86),2,1479112,1.41 MB,directory,manual_review
C:\Program Files\DB Browser for SQLite\platforms,C:\Program Files,2,1477104,1.41 MB,directory,manual_review
C:\Program Files\Zotero\fonts,C:\Program Files,2,1474284,1.41 MB,directory,manual_review
C:\Program Files\BCUninstaller\runtimes,C:\Program Files,2,1454824,1.39 MB,directory,manual_review
C:\Program Files\Git\etc,C:\Program Files,2,1447601,1.38 MB,directory,manual_review
C:\Program Files\Microsoft OneDrive\StandaloneUpdater,C:\Program Files,2,1312548,1.25 MB,directory,manual_review
C:\Program Files\HP\HpHwDiag,C:\Program Files,2,1227071,1.17 MB,directory,manual_review
C:\Program Files\Cheat Engine 7.5\include,C:\Program Files,2,1186186,1.13 MB,directory,manual_review
C:\Program Files (x86)\Online Services,C:\Program Files (x86),1,1172909,1.12 MB,directory,manual_review
C:\Program Files\Cisco Packet Tracer 8.2.2\templates,C:\Program Files,2,1151473,1.10 MB,directory,manual_review
C:\Program Files\Wireshark\radius,C:\Program Files,2,1129622,1.08 MB,directory,manual_review
C:\Program Files (x86)\Online Services\Amazon,C:\Program Files (x86),2,1051439,1.00 MB,directory,manual_review
C:\Program Files\Wireshark\platforms,C:\Program Files,2,999592,976.16 KB,directory,manual_review
C:\Program Files\7-Zip\Lang,C:\Program Files,2,956931,934.50 KB,directory,manual_review
C:\Program Files\PowerToys\KeyboardManagerEngine,C:\Program Files,2,942120,920.04 KB,directory,manual_review
C:\Program Files\Wireshark\multimedia,C:\Program Files,2,931656,909.82 KB,directory,manual_review
C:\Program Files\Cisco Packet Tracer 8.2.2\backgrounds,C:\Program Files,2,874583,854.08 KB,directory,manual_review
C:\Program Files\DB Browser for SQLite\extensions,C:\Program Files,2,853524,833.52 KB,directory,manual_review
C:\Program Files\Wireshark\diameter,C:\Program Files,2,798945,780.22 KB,directory,manual_review
C:\Program Files\Windows Defender\Offline,C:\Program Files,2,778376,760.13 KB,directory,manual_review
C:\Program Files\HP\Shared,C:\Program Files,2,758191,740.42 KB,directory,manual_review
C:\Program Files\Notepad++\plugins,C:\Program Files,2,733688,716.49 KB,directory,manual_review
C:\Program Files\Wireshark\imageformats,C:\Program Files,2,718496,701.66 KB,directory,manual_review
C:\Program Files\Windows Mail,C:\Program Files,1,716800,700.00 KB,directory,manual_review
C:\Program Files\Wireshark\tls,C:\Program Files,2,688104,671.98 KB,directory,manual_review
C:\Program Files (x86)\Windows Mail,C:\Program Files (x86),1,626688,612.00 KB,directory,manual_review
C:\Program Files\Wireshark\tpncp,C:\Program Files,2,582227,568.58 KB,directory,manual_review
C:\Program Files\Git\cmd,C:\Program Files,2,539303,526.66 KB,directory,manual_review
C:\Program Files\Cheat Engine 7.5\languages,C:\Program Files,2,528052,515.68 KB,directory,manual_review
C:\Program Files (x86)\Microsoft SQL Server\Client SDK,C:\Program Files (x86),2,519463,507.29 KB,directory,manual_review
C:\Program Files\HPCommRecovery,C:\Program Files,1,511727,499.73 KB,directory,manual_review
C:\Program Files\Zotero\uninstall,C:\Program Files,2,508026,496.12 KB,directory,manual_review
C:\Program Files (x86)\ExpressVPN\tap,C:\Program Files (x86),2,497520,485.86 KB,directory,manual_review
C:\Program Files\Notepad++\contextMenu,C:\Program Files,2,441884,431.53 KB,directory,manual_review
C:\Program Files (x86)\ExpressVPN\bootstrap,C:\Program Files (x86),2,439664,429.36 KB,directory,manual_review
C:\Program Files\Application Verifier,C:\Program Files,1,392824,383.62 KB,directory,manual_review
C:\Program Files (x86)\Microsoft SQL Server\90,C:\Program Files (x86),2,364370,355.83 KB,directory,manual_review
C:\Program Files\Wireshark\extcap,C:\Program Files,2,359080,350.66 KB,directory,manual_review
C:\Program Files\Microsoft,C:\Program Files,1,354839,346.52 KB,directory,manual_review
C:\Program Files (x86)\Microsoft SDKs\ClickOnce,C:\Program Files (x86),2,330944,323.19 KB,directory,manual_review
C:\Program Files (x86)\Application Verifier,C:\Program Files (x86),1,319064,311.59 KB,directory,manual_review
C:\Program Files\Cheat Engine 7.5\plugins,C:\Program Files,2,313328,305.98 KB,directory,manual_review
C:\Program Files (x86)\dotnet\host,C:\Program Files (x86),2,306984,299.79 KB,directory,manual_review
C:\Program Files\Microsoft\AzureAttestService,C:\Program Files,2,260080,253.98 KB,directory,manual_review
C:\Program Files\Windows Defender\tr-TR,C:\Program Files,2,254680,248.71 KB,directory,manual_review
C:\Program Files\Windows Defender\en-US,C:\Program Files,2,249048,243.21 KB,directory,manual_review
C:\Program Files\WSL\de-DE,C:\Program Files,2,233544,228.07 KB,directory,manual_review
C:\Program Files (x86)\Microsoft SQL Server\80,C:\Program Files (x86),2,233536,228.06 KB,directory,manual_review
C:\Program Files\WSL\fr-FR,C:\Program Files,2,229448,224.07 KB,directory,manual_review
C:\Program Files\Wireshark\styles,C:\Program Files,2,223400,218.16 KB,directory,manual_review
C:\Program Files\BCUninstaller\Resources,C:\Program Files,2,221662,216.47 KB,directory,manual_review
C:\Program Files\WSL\nl-NL,C:\Program Files,2,219712,214.56 KB,directory,manual_review
C:\Program Files\WSL\es-ES,C:\Program Files,2,217152,212.06 KB,directory,manual_review
C:\Program Files\Microsoft SQL Server\80,C:\Program Files,2,217120,212.03 KB,directory,manual_review
C:\Program Files\WSL\pl-PL,C:\Program Files,2,215640,210.59 KB,directory,manual_review
C:\Program Files\WSL\pt-BR,C:\Program Files,2,211544,206.59 KB,directory,manual_review
C:\Program Files\WSL\it-IT,C:\Program Files,2,210496,205.56 KB,directory,manual_review
C:\Program Files\WSL\ru-RU,C:\Program Files,2,209472,204.56 KB,directory,manual_review
C:\Program Files\WSL\da-DK,C:\Program Files,2,208968,204.07 KB,directory,manual_review
C:\Program Files\Notepad++\localization,C:\Program Files,2,207404,202.54 KB,directory,manual_review
C:\Program Files\Windows Defender\en-GB,C:\Program Files,2,205528,200.71 KB,directory,manual_review
C:\Program Files\PowerToys\uk-UA,C:\Program Files,2,204160,199.38 KB,directory,manual_review
C:\Program Files\PowerToys\ru-RU,C:\Program Files,2,203920,199.14 KB,directory,manual_review
C:\Program Files\PowerToys\fa-IR,C:\Program Files,2,202880,198.12 KB,directory,manual_review
C:\Program Files\PowerToys\ar-SA,C:\Program Files,2,201208,196.49 KB,directory,manual_review
C:\Program Files\PowerToys\he-IL,C:\Program Files,2,200152,195.46 KB,directory,manual_review
C:\Program Files\PowerToys\ja-JP,C:\Program Files,2,199728,195.05 KB,directory,manual_review
C:\Program Files\PowerToys\de-DE,C:\Program Files,2,199536,194.86 KB,directory,manual_review
C:\Program Files\PowerToys\fr-FR,C:\Program Files,2,199224,194.55 KB,directory,manual_review
C:\Program Files\PowerToys\hu-HU,C:\Program Files,2,199136,194.47 KB,directory,manual_review
C:\Program Files\PowerToys\es-ES,C:\Program Files,2,198976,194.31 KB,directory,manual_review
C:\Program Files\PowerToys\ko-KR,C:\Program Files,2,198840,194.18 KB,directory,manual_review
C:\Program Files\PowerToys\nl-NL,C:\Program Files,2,198824,194.16 KB,directory,manual_review
C:\Program Files\WSL\sv-SE,C:\Program Files,2,198784,194.12 KB,directory,manual_review
C:\Program Files\PowerToys\tr-TR,C:\Program Files,2,198608,193.95 KB,directory,manual_review
C:\Program Files\PowerToys\cs-CZ,C:\Program Files,2,198576,193.92 KB,directory,manual_review
C:\Program Files\PowerToys\pt-BR,C:\Program Files,2,198496,193.84 KB,directory,manual_review
C:\Program Files\PowerToys\pl-PL,C:\Program Files,2,198312,193.66 KB,directory,manual_review
C:\Program Files\PowerToys\sv-SE,C:\Program Files,2,198272,193.62 KB,directory,manual_review
C:\Program Files\PowerToys\pt-PT,C:\Program Files,2,198240,193.59 KB,directory,manual_review
C:\Program Files\WSL\nb-NO,C:\Program Files,2,198208,193.56 KB,directory,manual_review
C:\Program Files\PowerToys\it-IT,C:\Program Files,2,198080,193.44 KB,directory,manual_review
C:\Program Files\PowerToys\zh-TW,C:\Program Files,2,196304,191.70 KB,directory,manual_review
C:\Program Files\WSL\en-US,C:\Program Files,2,196176,191.58 KB,directory,manual_review
C:\Program Files\PowerToys\zh-CN,C:\Program Files,2,196056,191.46 KB,directory,manual_review
C:\Program Files\WSL\en-gb,C:\Program Files,2,195696,191.11 KB,directory,manual_review
C:\Program Files\WSL\fi-FI,C:\Program Files,2,193600,189.06 KB,directory,manual_review
C:\Program Files\BCUninstaller\ru,C:\Program Files,2,180224,176.00 KB,directory,manual_review
C:\Program Files (x86)\ExpressVPN\wintun,C:\Program Files (x86),2,177120,172.97 KB,directory,manual_review
C:\Program Files\Microsoft OneDrive\LogoImages,C:\Program Files,2,169459,165.49 KB,directory,manual_review
C:\Program Files\BCUninstaller\ja,C:\Program Files,2,168960,165.00 KB,directory,manual_review
C:\Program Files\HP\Consent Manager,C:\Program Files,2,164904,161.04 KB,directory,manual_review
C:\Program Files\BCUninstaller\fr,C:\Program Files,2,159232,155.50 KB,directory,manual_review
C:\Program Files\BCUninstaller\es,C:\Program Files,2,157184,153.50 KB,directory,manual_review
C:\Program Files\BCUninstaller\vi,C:\Program Files,2,156672,153.00 KB,directory,manual_review
C:\Program Files\BCUninstaller\it,C:\Program Files,2,156160,152.50 KB,directory,manual_review
C:\Program Files\BCUninstaller\de,C:\Program Files,2,155648,152.00 KB,directory,manual_review
C:\Program Files\BCUninstaller\tr,C:\Program Files,2,155136,151.50 KB,directory,manual_review
C:\Program Files\BCUninstaller\ar,C:\Program Files,2,153088,149.50 KB,directory,manual_review
C:\Program Files\BCUninstaller\pl,C:\Program Files,2,152576,149.00 KB,directory,manual_review
C:\Program Files\BCUninstaller\sv,C:\Program Files,2,151552,148.00 KB,directory,manual_review
C:\Program Files\Microsoft OneDrive\UpdaterService,C:\Program Files,2,147250,143.80 KB,directory,manual_review
C:\Program Files\BCUninstaller\pt-BR,C:\Program Files,2,145920,142.50 KB,directory,manual_review
C:\Program Files\BCUninstaller\nl,C:\Program Files,2,144896,141.50 KB,directory,manual_review
C:\Program Files\BCUninstaller\zh-Hant,C:\Program Files,2,144384,141.00 KB,directory,manual_review
C:\Program Files\DB Browser for SQLite\styles,C:\Program Files,2,144368,140.98 KB,directory,manual_review
C:\Program Files\Notepad++\functionList,C:\Program Files,2,142694,139.35 KB,directory,manual_review
C:\Program Files\Git\bin,C:\Program Files,2,141960,138.63 KB,directory,manual_review
C:\Program Files\BCUninstaller\sl,C:\Program Files,2,140288,137.00 KB,directory,manual_review
C:\Program Files\BCUninstaller\hu,C:\Program Files,2,138752,135.50 KB,directory,manual_review
C:\Program Files\BCUninstaller\cs,C:\Program Files,2,137216,134.00 KB,directory,manual_review
C:\Program Files\BCUninstaller\pt,C:\Program Files,2,135680,132.50 KB,directory,manual_review
C:\Program Files\BCUninstaller\zh-Hans,C:\Program Files,2,134656,131.50 KB,directory,manual_review
C:\Program Files\WSL\ja-JP,C:\Program Files,2,133720,130.59 KB,directory,manual_review
C:\Program Files (x86)\Steam\dumps,C:\Program Files (x86),2,128181,125.18 KB,directory,manual_review
C:\Program Files\Cheat Engine 7.5\clibs64,C:\Program Files,2,128000,125.00 KB,directory,manual_review
C:\Program Files\wkhtmltopdf\lib,C:\Program Files,2,127212,124.23 KB,directory,manual_review
C:\Program Files (x86)\Online Services\LastPass,C:\Program Files (x86),2,117168,114.42 KB,directory,manual_review
C:\Program Files\Windows Media Player\tr-TR,C:\Program Files,2,113152,110.50 KB,directory,manual_review
C:\Program Files\Cheat Engine 7.5\clibs32,C:\Program Files,2,109568,107.00 KB,directory,manual_review
C:\Program Files\Windows Media Player\en-US,C:\Program Files,2,109056,106.50 KB,directory,manual_review
C:\Program Files\Zotero\gmp-clearkey,C:\Program Files,2,107278,104.76 KB,directory,manual_review
C:\Program Files\HP\SystemOptimizerResult,C:\Program Files,2,106127,103.64 KB,directory,manual_review
C:\Program Files\Microsoft OneDrive\Update,C:\Program Files,2,105647,103.17 KB,directory,manual_review
C:\Program Files\Windows Media Player\en-GB,C:\Program Files,2,105472,103.00 KB,directory,manual_review
C:\Program Files\Wireshark\generic,C:\Program Files,2,104616,102.16 KB,directory,manual_review
C:\Program Files\WSL\zh-TW,C:\Program Files,2,101440,99.06 KB,directory,manual_review
C:\Program Files\WSL\zh-CN,C:\Program Files,2,99928,97.59 KB,directory,manual_review
C:\Program Files\Wireshark\wimaxasncp,C:\Program Files,2,95243,93.01 KB,directory,manual_review
C:\Program Files\Microsoft\OneDrive,C:\Program Files,2,94759,92.54 KB,directory,manual_review
C:\Program Files\Microsoft OneDrive\FileSyncHelper,C:\Program Files,2,84868,82.88 KB,directory,manual_review
C:\Program Files (x86)\Steam\depotcache,C:\Program Files (x86),2,78426,76.59 KB,directory,manual_review
C:\Program Files (x86)\Windows Media Player\tr-TR,C:\Program Files (x86),2,77312,75.50 KB,directory,manual_review
C:\Program Files (x86)\Windows Media Player\en-US,C:\Program Files (x86),2,75264,73.50 KB,directory,manual_review
C:\Program Files\Wireshark\iconengines,C:\Program Files,2,73384,71.66 KB,directory,manual_review
C:\Program Files\Wireshark\networkinformation,C:\Program Files,2,72872,71.16 KB,directory,manual_review
C:\Program Files (x86)\Windows Media Player\en-GB,C:\Program Files (x86),2,71680,70.00 KB,directory,manual_review
C:\Program Files\Windows Media Player\Skins,C:\Program Files,2,66030,64.48 KB,directory,manual_review
C:\Program Files (x86)\Windows Media Player\Skins,C:\Program Files (x86),2,66030,64.48 KB,directory,manual_review
C:\Program Files\Windows Media Player\Network Sharing,C:\Program Files,2,58916,57.54 KB,directory,manual_review
C:\Program Files\DB Browser for SQLite\licenses,C:\Program Files,2,58529,57.16 KB,directory,manual_review
C:\Program Files (x86)\Steam\music,C:\Program Files (x86),2,57777,56.42 KB,directory,manual_review
C:\Program Files (x86)\Windows Defender\tr-TR,C:\Program Files (x86),2,57344,56.00 KB,directory,manual_review
C:\Program Files\DB Browser for SQLite\printsupport,C:\Program Files,2,55280,53.98 KB,directory,manual_review
C:\Program Files\Windows Media Player\Media Renderer,C:\Program Files,2,53879,52.62 KB,directory,manual_review
C:\Program Files (x86)\Windows Media Player\Media Renderer,C:\Program Files (x86),2,53879,52.62 KB,directory,manual_review
C:\Program Files\QGIS 3.40.8,C:\Program Files,1,53421,52.17 KB,directory,manual_review
C:\Program Files (x86)\Windows Defender\en-GB,C:\Program Files (x86),2,53248,52.00 KB,directory,manual_review
C:\Program Files (x86)\Windows Defender\en-US,C:\Program Files (x86),2,53248,52.00 KB,directory,manual_review
C:\Program Files\DB Browser for SQLite\bearer,C:\Program Files,2,53232,51.98 KB,directory,manual_review
C:\Program Files\QGIS 3.40.8\var,C:\Program Files,2,53029,51.79 KB,directory,manual_review
C:\Program Files (x86)\Steam\config,C:\Program Files (x86),2,49057,47.91 KB,directory,manual_review
C:\Program Files\PostgreSQL\13,C:\Program Files,2,48803,47.66 KB,directory,manual_review
C:\Program Files\Windows Photo Viewer\tr-TR,C:\Program Files,2,46080,45.00 KB,directory,manual_review
C:\Program Files (x86)\Windows Photo Viewer\tr-TR,C:\Program Files (x86),2,46080,45.00 KB,directory,manual_review
C:\Program Files\Windows Photo Viewer\en-GB,C:\Program Files,2,44032,43.00 KB,directory,manual_review
C:\Program Files\Windows Photo Viewer\en-US,C:\Program Files,2,44032,43.00 KB,directory,manual_review
C:\Program Files (x86)\Windows Photo Viewer\en-GB,C:\Program Files (x86),2,44032,43.00 KB,directory,manual_review
C:\Program Files (x86)\Windows Photo Viewer\en-US,C:\Program Files (x86),2,44032,43.00 KB,directory,manual_review
C:\Program Files\Cheat Engine 7.5\tcclib,C:\Program Files,2,43727,42.70 KB,directory,manual_review
C:\Program Files\DB Browser for SQLite\iconengines,C:\Program Files,2,41968,40.98 KB,directory,manual_review
C:\Program Files\Common Files\DESIGNER,C:\Program Files,2,29528,28.84 KB,directory,manual_review
C:\Program Files\Microsoft Office\Updates,C:\Program Files,2,26310,25.69 KB,directory,manual_review
C:\Program Files\Wireshark\dtds,C:\Program Files,2,25785,25.18 KB,directory,manual_review
C:\Program Files\MSBuild\Microsoft,C:\Program Files,2,25757,25.15 KB,directory,manual_review
C:\Program Files\MSBuild,C:\Program Files,1,25757,25.15 KB,directory,manual_review
C:\Program Files (x86)\MSBuild\Microsoft,C:\Program Files (x86),2,25757,25.15 KB,directory,manual_review
C:\Program Files (x86)\Microsoft.NET\RedistList,C:\Program Files (x86),2,23935,23.37 KB,directory,manual_review
C:\Program Files\Tesseract-OCR\doc,C:\Program Files,2,20287,19.81 KB,directory,manual_review
C:\Program Files (x86)\Common Files\Designer,C:\Program Files (x86),2,19512,19.05 KB,directory,manual_review
C:\Program Files (x86)\HP\HP Software Framework,C:\Program Files (x86),2,16936,16.54 KB,directory,manual_review
C:\Program Files\Cheat Engine 7.5\badassets,C:\Program Files,2,13481,13.17 KB,directory,manual_review
C:\Program Files\Wireshark\profiles,C:\Program Files,2,11147,10.89 KB,directory,manual_review
C:\Program Files\wkhtmltopdf\include,C:\Program Files,2,10941,10.68 KB,directory,manual_review
C:\Program Files\Internet Explorer\en-US,C:\Program Files,2,10752,10.50 KB,directory,manual_review
C:\Program Files (x86)\Internet Explorer\en-US,C:\Program Files (x86),2,10752,10.50 KB,directory,manual_review
C:\Program Files (x86)\Mozilla Maintenance Service\UpdateLogs,C:\Program Files (x86),2,10499,10.25 KB,directory,manual_review
C:\Program Files (x86)\Mozilla Maintenance Service,C:\Program Files (x86),1,10499,10.25 KB,directory,manual_review
C:\Program Files\BCUninstaller\zh-CN,C:\Program Files,2,9728,9.50 KB,directory,manual_review
C:\Program Files\Internet Explorer\en-GB,C:\Program Files,2,8704,8.50 KB,directory,manual_review
C:\Program Files\Internet Explorer\tr-TR,C:\Program Files,2,8704,8.50 KB,directory,manual_review
C:\Program Files (x86)\Internet Explorer\en-GB,C:\Program Files (x86),2,8704,8.50 KB,directory,manual_review
C:\Program Files (x86)\Internet Explorer\tr-TR,C:\Program Files (x86),2,8704,8.50 KB,directory,manual_review
C:\Program Files\Wireshark\protobuf,C:\Program Files,2,7965,7.78 KB,directory,manual_review
C:\Program Files\dotnet\swidtag,C:\Program Files,2,5722,5.59 KB,directory,manual_review
C:\Program Files\BCUninstaller\fi-FI,C:\Program Files,2,5632,5.50 KB,directory,manual_review
C:\Program Files\BCUninstaller\hr,C:\Program Files,2,5632,5.50 KB,directory,manual_review
C:\Program Files\BCUninstaller\ko-KR,C:\Program Files,2,5632,5.50 KB,directory,manual_review
C:\Program Files\Internet Explorer\images,C:\Program Files,2,5430,5.30 KB,directory,manual_review
C:\Program Files\Microsoft Visual Studio 10.0\Common7,C:\Program Files,2,4849,4.74 KB,directory,manual_review
C:\Program Files\Microsoft Visual Studio 10.0,C:\Program Files,1,4849,4.74 KB,directory,manual_review
C:\Program Files\Online Services,C:\Program Files,1,4302,4.20 KB,directory,manual_review
C:\Program Files\Online Services\Bing_icon,C:\Program Files,2,4222,4.12 KB,directory,manual_review
C:\Program Files (x86)\Online Services\Bing_icon,C:\Program Files (x86),2,4222,4.12 KB,directory,manual_review
C:\Program Files (x86)\Common Files\Microsoft,C:\Program Files (x86),2,2223,2.17 KB,directory,manual_review
C:\Program Files (x86)\NuGet\Config,C:\Program Files (x86),2,680,680 B,directory,manual_review
C:\Program Files (x86)\NuGet,C:\Program Files (x86),1,680,680 B,directory,manual_review
C:\Program Files\Internet Explorer\SIGNUP,C:\Program Files,2,452,452 B,directory,manual_review
C:\Program Files (x86)\Internet Explorer\SIGNUP,C:\Program Files (x86),2,452,452 B,directory,manual_review
C:\Program Files\QGIS 3.40.8\etc,C:\Program Files,2,287,287 B,directory,manual_review
C:\Program Files\Git\dev,C:\Program Files,2,172,172 B,directory,manual_review
C:\Program Files\QGIS 3.40.8\bin,C:\Program Files,2,105,105 B,directory,manual_review
C:\Program Files\Adobe,C:\Program Files,1,0,0 B,directory,manual_review
C:\Program Files\Common Files\Microsoft,C:\Program Files,2,0,0 B,directory,manual_review
C:\Program Files\datronicsoft\spacedeskTemporarySetupFiles,C:\Program Files,2,0,0 B,directory,manual_review
C:\Program Files\datronicsoft,C:\Program Files,1,0,0 B,directory,manual_review
C:\Program Files\dotnet\metadata,C:\Program Files,2,0,0 B,directory,manual_review
C:\Program Files\draw.io,C:\Program Files,1,0,0 B,directory,manual_review
C:\Program Files\Git\tmp,C:\Program Files,2,0,0 B,directory,manual_review
C:\Program Files\GNU Octave,C:\Program Files,1,0,0 B,directory,manual_review
C:\Program Files\Microsoft\EdgeUpdater,C:\Program Files,2,0,0 B,directory,manual_review
C:\Program Files\ModifiableWindowsApps,C:\Program Files,1,0,0 B,directory,manual_review
C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience,C:\Program Files,2,0,0 B,directory,manual_review
C:\Program Files\NVIDIA Corporation\ShadowPlay,C:\Program Files,2,0,0 B,directory,manual_review
C:\Program Files\NVIDIA Corporation\vGPU Licensing,C:\Program Files,2,0,0 B,directory,manual_review
C:\Program Files\PackageManagement\ProviderAssemblies,C:\Program Files,2,0,0 B,directory,manual_review
C:\Program Files\PackageManagement,C:\Program Files,1,0,0 B,directory,manual_review
C:\Program Files\PostgreSQL\16,C:\Program Files,2,0,0 B,directory,manual_review
C:\Program Files\Uninstall Information,C:\Program Files,1,0,0 B,directory,manual_review
C:\Program Files\Windows Defender\Platform,C:\Program Files,2,0,0 B,directory,manual_review
C:\Program Files\Windows Media Player\Icons,C:\Program Files,2,0,0 B,directory,manual_review
C:\Program Files\Windows Media Player\Visualizations,C:\Program Files,2,0,0 B,directory,manual_review
C:\Program Files\Windows NT\Accessories,C:\Program Files,2,0,0 B,directory,manual_review
C:\Program Files\Windows Sidebar\Gadgets,C:\Program Files,2,0,0 B,directory,manual_review
C:\Program Files\Windows Sidebar\Shared Gadgets,C:\Program Files,2,0,0 B,directory,manual_review
C:\Program Files\Windows Sidebar,C:\Program Files,1,0,0 B,directory,manual_review
C:\Program Files\WindowsPowerShell\Configuration,C:\Program Files,2,0,0 B,directory,manual_review
C:\Program Files\WindowsPowerShell\Scripts,C:\Program Files,2,0,0 B,directory,manual_review
C:\Program Files (x86)\Adobe,C:\Program Files (x86),1,0,0 B,directory,manual_review
C:\Program Files (x86)\BraveSoftware\Temp,C:\Program Files (x86),2,0,0 B,directory,manual_review
C:\Program Files (x86)\Common Files\VMware,C:\Program Files (x86),2,0,0 B,directory,manual_review
C:\Program Files (x86)\Embarcadero,C:\Program Files (x86),1,0,0 B,directory,manual_review
C:\Program Files (x86)\Internet Explorer\images,C:\Program Files (x86),2,0,0 B,directory,manual_review
C:\Program Files (x86)\Microsoft\Temp,C:\Program Files (x86),2,0,0 B,directory,manual_review
C:\Program Files (x86)\Steam\siteserverui,C:\Program Files (x86),2,0,0 B,directory,manual_review
C:\Program Files (x86)\Steam\steamui-public,C:\Program Files (x86),2,0,0 B,directory,manual_review
C:\Program Files (x86)\VMware\VMware Workstation,C:\Program Files (x86),2,0,0 B,directory,manual_review
C:\Program Files (x86)\VMware,C:\Program Files (x86),1,0,0 B,directory,manual_review
C:\Program Files (x86)\Windows Media Player\Icons,C:\Program Files (x86),2,0,0 B,directory,manual_review
C:\Program Files (x86)\Windows Media Player\Network Sharing,C:\Program Files (x86),2,0,0 B,directory,manual_review
C:\Program Files (x86)\Windows Media Player\Visualizations,C:\Program Files (x86),2,0,0 B,directory,manual_review
C:\Program Files (x86)\Windows NT\Accessories,C:\Program Files (x86),2,0,0 B,directory,manual_review
C:\Program Files (x86)\Windows Sidebar\Gadgets,C:\Program Files (x86),2,0,0 B,directory,manual_review
C:\Program Files (x86)\Windows Sidebar\Shared Gadgets,C:\Program Files (x86),2,0,0 B,directory,manual_review
C:\Program Files (x86)\Windows Sidebar,C:\Program Files (x86),1,0,0 B,directory,manual_review
C:\Program Files (x86)\WindowsPowerShell\Configuration,C:\Program Files (x86),2,0,0 B,directory,manual_review
